date,open,high,close,low,volume,amount
2017-03-28,62.7,62.99,60.73,60.41,2819705.0,173520132.0
2017-03-27,63.42,64.61,63.01,62.07,3819762.0,242425463.0
2017-03-24,60.17,62.99,62.73,59.7,4223306.0,260974397.0
2017-03-23,61.63,62.07,60.27,58.81,4040139.0,245063990.0
2017-03-22,59.99,62.88,62.05,59.55,4093808.0,250507478.0
2017-03-21,59.96,60.75,60.69,59.38,3086382.0,185451816.0
2017-03-20,58.06,60.13,60.06,58.02,2910846.0,172260787.0
2017-03-17,60.59,61.7,58.01,57.9,4557302.0,272866634.0
2017-03-16,59.43,61.6,60.8,59.42,3789737.0,229814637.0
2017-03-15,58.88,59.78,59.61,57.77,2947195.0,172972751.0
2017-03-14,60.0,60.55,59.01,58.82,3093303.0,184489389.0
2017-03-13,58.27,60.48,60.18,58.07,3276635.0,194137784.0
2017-03-10,58.35,59.27,58.19,57.46,2970399.0,172867929.0
2017-03-09,60.0,61.09,58.48,58.33,3382633.0,202067423.0
2017-03-08,61.3,61.75,60.32,59.58,3223162.0,195237127.0
2017-03-07,61.1,61.74,61.56,60.44,3903170.0,238665219.0
2017-03-06,57.54,63.42,61.67,57.38,6722655.0,410713323.0
2017-03-03,56.8,58.33,57.65,55.7,4128852.0,236974889.0
2017-03-02,56.98,58.28,57.27,56.53,3379745.0,193883699.0
2017-03-01,58.3,58.77,57.07,56.81,4346491.0,250131048.0
2017-02-28,57.4,59.19,58.97,56.5,5199983.0,300060491.0
2017-02-27,55.96,58.7,57.93,55.36,5495418.0,312589174.0
2017-02-24,57.0,58.8,56.46,56.3,7363132.0,422784822.0
2017-02-23,51.25,56.07,56.07,51.06,3923644.0,213228245.0
2017-02-22,50.6,51.07,50.97,49.8,2636199.0,133005195.0
2017-02-21,49.49,50.79,50.48,49.48,2297159.0,115360603.0
2017-02-20,52.03,52.49,49.58,48.3,4398306.0,219355425.0
2017-02-17,53.7,55.48,52.49,52.24,3328643.0,178769270.0
2017-02-16,53.85,54.19,53.7,52.68,2972383.0,158744706.0
2017-02-15,53.53,55.88,53.99,53.23,5396692.0,295452748.0
2017-02-14,53.0,54.47,53.74,52.7,3935542.0,210875347.0
2017-02-13,50.55,53.5,53.14,50.52,3669345.0,192029570.0
2017-02-10,52.4,53.28,50.93,50.91,3432015.0,177750961.0
2017-02-09,52.98,53.38,52.47,52.02,3185344.0,167714319.0
2017-02-08,51.68,53.58,53.39,51.01,3589406.0,188687596.0
2017-02-07,52.6,53.58,51.99,51.3,3320074.0,173427076.0
2017-02-06,51.3,53.17,53.02,51.13,3513075.0,183265346.0
2017-02-03,52.88,53.12,50.79,50.71,3097928.0,159596453.0
2017-01-26,54.3,54.83,53.19,52.46,3790787.0,201949593.0
2017-01-25,52.31,55.19,54.52,52.27,3835552.0,207491426.0
2017-01-24,53.4,53.86,52.49,52.16,3458470.0,182983154.0
2017-01-23,50.99,55.78,54.08,50.6,6496554.0,345798698.0
2017-01-20,48.4,51.95,50.87,48.01,4928989.0,249708802.0
2017-01-19,47.5,49.79,48.75,46.61,3942691.0,191087619.0
2017-01-18,48.9,49.78,48.1,47.92,3970704.0,193862484.0
2017-01-17,45.31,50.9,49.83,45.17,5764931.0,277913103.0
2017-01-16,45.7,47.89,46.39,45.31,5385657.0,250971382.0
2017-01-13,46.1,46.1,45.02,44.6,2951350.0,133761784.0
2017-01-12,47.0,47.5,46.19,45.8,3375574.0,157090479.0
2017-01-11,49.6,49.77,46.89,46.73,5064000.0,242891404.0
2017-01-10,49.55,51.14,50.04,49.39,3826988.0,192727495.0
2017-01-09,49.3,50.92,49.89,49.02,4751071.0,237629828.0
2017-01-06,53.8,54.81,50.23,49.88,9085093.0,474289558.0
2017-01-05,56.62,57.46,54.33,54.11,11151382.0,619076179.0
2017-01-04,59.7,60.3,57.73,56.7,15341214.0,897116421.0
2017-01-03,55.09,55.09,55.09,55.09,181358.0,9991012.0
2016-12-30,50.08,50.08,50.08,50.08,117831.0,5900976.0
2016-12-29,45.53,45.53,45.53,45.53,26604.0,1211280.0
2016-12-28,41.39,41.39,41.39,41.39,34558.0,1430356.0
2016-12-27,37.63,37.63,37.63,37.63,8891.0,334568.0
2016-12-26,34.21,34.21,34.21,34.21,16720.0,571991.0
2016-12-23,31.1,31.1,31.1,31.1,5700.0,177270.0
2016-12-22,28.27,28.27,28.27,28.27,3600.0,101772.0
2016-12-21,21.42,25.7,25.7,21.42,6500.0,166622.0
